"","class_","january_2019","february_2019","march_2019","april_2020","may_2020","june_2020","july_2020","august_2020","september_2020","october_2020","november_2020","december_2020","january_2020","february_2020","march_2020"
"1","class1","0 (0 to 0)","0 (0 to 0)","0 (0 to 0)","0 (0 to 0)","0 (0 to 0)","0 (0 to 0)","0 (0 to 0)","0 (0 to 0)","0 (0 to 0)","0 (0 to 0)","0 (0 to 0)","0 (0 to 0)","0 (0 to 0)","0 (0 to 0)","0 (0 to 0)"
"2","class2","0 (0 to 0)","0 (0 to 0)","7 058 (5 840 to 8 555)","13 699 (11 181 to 16 912)","20 606 (16 736 to 25 604)","25 972 (21 051 to 32 356)","29 557 (23 934 to 36 867)","31 248 (25 295 to 38 996)","31 248 (25 295 to 38 996)","31 248 (25 295 to 38 996)","31 248 (25 295 to 38 996)","31 248 (25 294 to 38 996)","31 248 (25 295 to 38 996)","31 248 (25 295 to 38 996)","31 248 (25 295 to 38 997)"
"3","class3","0 (0 to 0)","0 (0 to 0)","84 127 (69 109 to 110 982)","226 800 (186 645 to 311 721)","375 186 (308 887 to 520 497)","528 870 (435 494 to 736 727)","682 917 (562 400 to 953 468)","828 246 (682 124 to 1 157 943)","940 917 (774 943 to 1 316 468)","1 019 824 (839 948 to 1 427 489)","1 059 074 (872 283 to 1 482 714)","1 059 074 (872 283 to 1 482 714)","1 059 074 (872 283 to 1 482 714)","1 059 074 (872 283 to 1 482 714)","1 059 074 (872 283 to 1 482 714)"
"4","class4","0 (0 to 0)","0 (0 to 0)","58 019 (30 779 to 86 569)","176 272 (86 453 to 271 164)","299 260 (144 356 to 463 150)","426 639 (204 326 to 661 990)","554 319 (264 438 to 861 300)","674 773 (321 148 to 1 049 330)","799 287 (379 770 to 1 243 698)","930 089 (441 352 to 1 447 881)","1 060 218 (502 617 to 1 651 014)","1 145 258 (542 653 to 1 783 761)","1 207 745 (572 072 to 1 881 304)","1 237 871 (586 256 to 1 928 332)","1 237 871 (586 256 to 1 928 332)"
"5","total","0 (0 to 0)","0 (0 to 0)","149 204 (105 728 to 206 106)","416 771 (284 279 to 599 797)","695 052 (469 979 to 1 009 251)","981 481 (660 871 to 1 431 073)","1 266 793 (850 772 to 1 851 635)","1 534 267 (1 028 567 to 2 246 269)","1 771 452 (1 180 008 to 2 599 162)","1 981 161 (1 306 595 to 2 914 366)","2 150 540 (1 400 195 to 3 172 724)","2 235 580 (1 440 230 to 3 305 471)","2 298 067 (1 469 650 to 3 403 014)","2 328 193 (1 483 834 to 3 450 042)","2 328 193 (1 483 834 to 3 450 043)"
