"",".id","class_","march_2019","april_2020","may_2020","june_2020","july_2020","august_2020","september_2020","october_2020","november_2020","december_2020","january_2020","february_2020","Total"
"15","gown_low","val","3 205 742 (2 535 331 to 4 064 051)","1 242 665 (1 115 517 to 1 391 692)","1 297 079 (1 164 543 to 1 452 388)","1 309 697 (1 171 577 to 1 472 871)","1 353 692 (1 209 486 to 1 524 505)","1 315 506 (1 174 027 to 1 483 434)","1 858 518 (1 621 871 to 2 238 160)","2 472 185 (2 132 007 to 3 082 506)","2 971 611 (2 542 404 to 3 788 863)","3 551 835 (2 891 816 to 4 665 875)","4 227 580 (3 288 791 to 5 679 850)","4 426 872 (3 314 687 to 6 046 780)","29232982 (24162057 to 36890975)"
"16","visor_low","val","3 098 885 (2 450 821 to 3 928 583)","1 201 243 (1 078 332 to 1 345 303)","1 253 842 (1 125 724 to 1 403 975)","1 266 041 (1 132 524 to 1 423 776)","1 308 569 (1 169 169 to 1 473 688)","1 271 656 (1 134 892 to 1 433 987)","1 796 568 (1 567 810 to 2 163 554)","2 389 779 (2 060 941 to 2 979 756)","2 872 557 (2 457 658 to 3 662 567)","3 433 440 (2 795 422 to 4 510 347)","4 086 661 (3 179 165 to 5 490 521)","4 279 309 (3 204 199 to 5 845 221)","28258550 (23356657 to 35661278)"
"17","gloves_low","val","318 437 (251 843 to 403 695)","123 438 (110 808 to 138 242)","128 843 (115 678 to 144 271)","130 097 (116 376 to 146 305)","134 467 (120 142 to 151 434)","130 673 (116 620 to 147 354)","184 613 (161 106 to 222 323)","245 570 (211 779 to 306 196)","295 180 (252 546 to 376 360)","352 816 (287 254 to 463 478)","419 938 (326 687 to 564 198)","439 736 (329 258 to 600 647)","2903808 (2400097 to 3664503)"
"18","ffp3_low","val","3 098 885 (2 450 821 to 3 928 583)","1 201 243 (1 078 332 to 1 345 303)","1 253 842 (1 125 724 to 1 403 975)","1 266 041 (1 132 524 to 1 423 776)","1 308 569 (1 169 169 to 1 473 688)","1 271 656 (1 134 892 to 1 433 987)","1 796 568 (1 567 810 to 2 163 554)","2 389 779 (2 060 941 to 2 979 756)","2 872 557 (2 457 658 to 3 662 567)","3 433 440 (2 795 422 to 4 510 347)","4 086 661 (3 179 165 to 5 490 521)","4 279 309 (3 204 199 to 5 845 221)","28258550 (23356657 to 35661278)"
"19","gown_high","val","6 411 485 (5 070 662 to 8 128 102)","2 485 330 (2 231 033 to 2 783 385)","2 594 157 (2 329 085 to 2 904 777)","2 619 394 (2 343 153 to 2 945 742)","2 707 382 (2 418 970 to 3 049 010)","2 631 012 (2 348 053 to 2 966 870)","3 717 037 (3 243 743 to 4 476 318)","4 944 370 (4 264 014 to 6 165 011)","5 943 224 (5 084 809 to 7 577 726)","7 103 669 (5 783 632 to 9 331 752)","8 455 161 (6 577 582 to 11 359 701)","8 853 744 (6 629 376 to 12 093 561)","58465965 (48324112 to 73781955)"
"20","visor_high","val","6 197 769 (4 901 640 to 7 857 166)","2 402 486 (2 156 666 to 2 690 605)","2 507 685 (2 251 449 to 2 807 951)","2 532 082 (2 265 048 to 2 847 550)","2 617 137 (2 338 338 to 2 947 376)","2 543 311 (2 269 784 to 2 867 974)","3 593 136 (3 135 619 to 4 327 108)","4 779 558 (4 121 880 to 5 959 511)","5 745 116 (4 915 315 to 7 325 135)","6 866 880 (5 590 844 to 9 020 693)","8 173 322 (6 358 330 to 10 981 044)","8 558 619 (6 408 396 to 11 690 442)","56517101 (46713309 to 71322555)"
"21","gloves_high","val","636 874 (503 686 to 807 391)","246 876 (221 616 to 276 483)","257 686 (231 356 to 288 541)","260 193 (232 754 to 292 610)","268 933 (240 285 to 302 869)","261 347 (233 240 to 294 709)","369 226 (322 211 to 444 648)","491 141 (423 559 to 612 391)","590 360 (505 091 to 752 721)","705 631 (574 508 to 926 954)","839 880 (653 373 to 1 128 397)","879 471 (658 517 to 1 201 293)","5807618 (4800196 to 7329007)"
"22","ffp3_high","val","6 197 769 (4 901 640 to 7 857 166)","2 402 486 (2 156 666 to 2 690 605)","2 507 685 (2 251 449 to 2 807 951)","2 532 082 (2 265 048 to 2 847 550)","2 617 137 (2 338 338 to 2 947 376)","2 543 311 (2 269 784 to 2 867 974)","3 593 136 (3 135 619 to 4 327 108)","4 779 558 (4 121 880 to 5 959 511)","5 745 116 (4 915 315 to 7 325 135)","6 866 880 (5 590 844 to 9 020 693)","8 173 322 (6 358 330 to 10 981 044)","8 558 619 (6 408 396 to 11 690 442)","56517101 (46713309 to 71322555)"
"23","all_ppe_low","val","9 721 949 (7 688 814 to 12 324 913)","3 768 590 (3 382 990 to 4 220 539)","3 933 606 (3 531 670 to 4 404 610)","3 971 874 (3 553 001 to 4 466 727)","4 105 295 (3 667 966 to 4 623 315)","3 989 491 (3 560 431 to 4 498 763)","5 636 267 (4 918 597 to 6 787 592)","7 497 312 (6 465 667 to 9 348 213)","9 011 906 (7 710 265 to 11 490 360)","10 771 531 (8 769 914 to 14 150 047)","12 820 841 (9 973 808 to 17 225 093)","13 425 225 (10 052 342 to 18 337 870)","88653887 (73275465 to 111878042)"
"24","all_ppe_high","val","19 443 895 (15 377 628 to 24 649 824)","7 537 179 (6 765 980 to 8 441 079)","7 867 213 (7 063 339 to 8 809 221)","7 943 750 (7 106 001 to 8 933 453)","8 210 590 (7 335 931 to 9 246 630)","7 978 982 (7 120 861 to 8 997 527)","11 272 534 (9 837 192 to 13 575 184)","14 994 626 (12 931 333 to 18 696 425)","18 023 815 (15 420 531 to 22 980 718)","21 543 060 (17 539 828 to 28 300 093)","25 641 685 (19 947 615 to 34 450 186)","26 850 452 (20 104 683 to 36 675 741)","177307781 (146550922 to 223756081)"
